size,1,2,4,8,16,32,64,128,256,512
4KB,7,7,7,7,7,8,8,9,10,15
8KB,7,7,7,7,7,7,8,8,9,11
16KB,7,7,7,7,7,7,7,8,8,9
32KB,7,7,7,7,7,7,7,7,8,8
64KB,7,7,7,7,7,7,7,7,7,8
128KB,7,7,7,7,7,7,7,7,7,7
256KB,7,7,7,7,7,7,7,7,7,7
512KB,7,7,8,7,7,7,7,8,8,8
1024KB,8,7,9,9,9,9,9,9,9,9
2048KB,9,7,7,7,7,7,7,9,9,9
4096KB,7,9,7,9,9,10,11,12,14,17
8192KB,7,8,8,8,8,8,10,17,18,26
16384KB,9,9,9,8,8,9,10,17,20,28
